graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_25_38_0,25,38,1,"{(10, 13)}",50,1079,0.0
Graph_25_38_1,25,38,1,"{(2, 13)}",50,1079,0.0
Graph_25_76_0,25,76,1,"{(11, 17)}",50,1383,0.0
Graph_25_76_1,25,76,4,"{(8, 13), (13, 20), (10, 13), (2, 13)}",50,1383,0.0
Graph_25_151_0,25,151,8,"{(6, 18), (6, 14), (2, 6), (6, 10), (5, 6), (6, 16), (6, 9), (6, 22)}",50,1983,0.0
Graph_25_151_1,25,151,7,"{(5, 21), (1, 5), (5, 20), (4, 5), (5, 16), (2, 5), (5, 18)}",50,1983,0.0
Graph_25_226_0,25,226,15,"{(14, 24), (13, 14), (3, 14), (10, 14), (14, 17), (14, 23), (6, 14), (1, 14), (14, 19), (14, 22), (14, 18), (11, 14), (14, 15), (12, 14), (7, 14)}",75,3887,0.001020193099975586
Graph_25_226_1,25,226,14,"{(8, 24), (14, 24), (20, 24), (15, 24), (5, 24), (6, 24), (11, 24), (18, 24), (21, 24), (0, 24), (12, 24), (7, 24), (2, 24), (13, 24)}",50,2583,0.0
Graph_25_300_0,25,300,24,"{(15, 24), (6, 24), (4, 24), (0, 24), (17, 24), (19, 24), (8, 24), (10, 24), (1, 24), (21, 24), (12, 24), (23, 24), (3, 24), (14, 24), (5, 24), (16, 24), (7, 24), (18, 24), (20, 24), (22, 24), (9, 24), (11, 24), (2, 24), (13, 24)}",50,3175,0.007908821105957031
Graph_25_300_1,25,300,24,"{(7, 23), (18, 23), (20, 23), (22, 23), (0, 23), (11, 23), (9, 23), (2, 23), (13, 23), (15, 23), (6, 23), (23, 24), (17, 23), (4, 23), (19, 23), (8, 23), (10, 23), (1, 23), (21, 23), (12, 23), (14, 23), (3, 23), (5, 23), (16, 23)}",50,3175,0.0
Graph_50_154_0,50,154,4,"{(17, 28), (28, 41), (28, 31), (16, 28)}",150,6073,0.000997781753540039
Graph_50_154_1,50,154,3,"{(6, 23), (23, 33), (23, 46)}",150,6073,0.0
Graph_50_307_0,50,307,6,"{(28, 33), (21, 28), (16, 28), (17, 28), (28, 41), (28, 31)}",150,7909,0.0005934238433837891
Graph_50_307_1,50,307,8,"{(6, 31), (31, 43), (31, 46), (31, 36), (9, 31), (4, 31), (24, 31), (8, 31)}",150,7909,0.00377655029296875
Graph_50_613_0,50,613,18,"{(5, 31), (5, 37), (5, 40), (5, 24), (1, 5), (5, 8), (5, 14), (5, 27), (5, 33), (5, 13), (5, 42), (5, 41), (5, 10), (5, 26), (5, 35), (5, 48), (3, 5), (5, 18)}",100,7704,0.0038793087005615234
Graph_50_613_1,50,613,16,"{(7, 49), (7, 36), (7, 42), (7, 26), (3, 7), (7, 16), (7, 32), (7, 9), (7, 12), (7, 25), (7, 31), (7, 37), (7, 47), (7, 18), (4, 7), (7, 30)}",100,7704,0.0022253990173339844
Graph_50_919_0,50,919,30,"{(1, 31), (12, 31), (23, 31), (5, 31), (25, 31), (16, 31), (7, 31), (18, 31), (29, 31), (20, 31), (31, 34), (31, 43), (31, 46), (9, 31), (11, 31), (13, 31), (24, 31), (26, 31), (15, 31), (6, 31), (31, 33), (31, 39), (31, 36), (31, 42), (4, 31), (31, 45), (17, 31), (31, 48), (28, 31), (8, 31)}",100,10152,0.003007173538208008
Graph_50_919_1,50,919,30,"{(16, 26), (7, 26), (18, 26), (26, 27), (26, 39), (26, 36), (20, 26), (26, 42), (26, 45), (9, 26), (0, 26), (11, 26), (2, 26), (13, 26), (15, 26), (26, 32), (6, 26), (26, 38), (26, 44), (26, 41), (26, 47), (17, 26), (8, 26), (10, 26), (1, 26), (26, 28), (23, 26), (14, 26), (3, 26), (5, 26)}",100,10152,0.004006385803222656
Graph_50_1225_0,50,1225,49,"{(27, 47), (25, 47), (16, 47), (38, 47), (18, 47), (40, 47), (7, 47), (29, 47), (31, 47), (20, 47), (22, 47), (47, 49), (9, 47), (42, 47), (0, 47), (11, 47), (33, 47), (44, 47), (2, 47), (24, 47), (13, 47), (35, 47), (46, 47), (26, 47), (15, 47), (6, 47), (39, 47), (4, 47), (37, 47), (17, 47), (28, 47), (47, 48), (30, 47), (8, 47), (19, 47), (41, 47), (10, 47), (43, 47), (32, 47), (14, 47), (1, 47), (21, 47), (12, 47), (23, 47), (34, 47), (45, 47), (3, 47), (36, 47), (5, 47)}",100,12600,0.00659942626953125
Graph_50_1225_1,50,1225,49,"{(27, 47), (25, 47), (16, 47), (38, 47), (7, 47), (40, 47), (29, 47), (18, 47), (20, 47), (31, 47), (22, 47), (3, 47), (47, 49), (9, 47), (42, 47), (0, 47), (44, 47), (11, 47), (33, 47), (2, 47), (35, 47), (13, 47), (46, 47), (24, 47), (26, 47), (15, 47), (6, 47), (39, 47), (4, 47), (37, 47), (28, 47), (47, 48), (17, 47), (30, 47), (8, 47), (19, 47), (41, 47), (10, 47), (43, 47), (32, 47), (1, 47), (21, 47), (12, 47), (45, 47), (23, 47), (34, 47), (14, 47), (36, 47), (5, 47)}",100,12600,0.006882905960083008
Graph_75_347_0,75,347,2,"{(25, 56), (53, 56)}",150,8851,0.0023598670959472656
Graph_75_347_1,75,347,2,"{(21, 64), (21, 34)}",225,13314,0.003919124603271484
Graph_75_694_0,75,694,12,"{(35, 59), (24, 59), (46, 59), (8, 59), (19, 59), (53, 59), (48, 59), (59, 64), (51, 59), (34, 59), (56, 59), (45, 59)}",300,23329,0.008819103240966797
Graph_75_694_1,75,694,10,"{(21, 71), (16, 71), (38, 71), (59, 71), (18, 71), (40, 71), (71, 74), (36, 71), (32, 71), (65, 71)}",225,17478,0.007786989212036133
Graph_75_1388_0,75,1388,26,"{(67, 71), (69, 71), (58, 71), (25, 71), (7, 71), (40, 71), (20, 71), (64, 71), (53, 71), (22, 71), (55, 71), (42, 71), (0, 71), (44, 71), (2, 71), (24, 71), (46, 71), (15, 71), (39, 71), (17, 71), (61, 71), (50, 71), (30, 71), (52, 71), (19, 71), (43, 71)}",150,17179,0.00499415397644043
Graph_75_1388_1,75,1388,25,"{(0, 39), (11, 39), (15, 39), (26, 39), (39, 42), (39, 60), (39, 57), (4, 39), (28, 39), (39, 41), (21, 39), (39, 53), (39, 56), (12, 39), (39, 68), (39, 71), (39, 46), (22, 39), (39, 49), (20, 39), (39, 58), (39, 55), (39, 61), (39, 67), (39, 64)}",150,17179,0.004047393798828125
Graph_75_2082_0,75,2082,47,"{(53, 66), (55, 66), (9, 66), (42, 66), (0, 66), (11, 66), (33, 66), (44, 66), (2, 66), (24, 66), (46, 66), (57, 66), (66, 69), (66, 72), (26, 66), (6, 66), (39, 66), (4, 66), (17, 66), (50, 66), (28, 66), (61, 66), (8, 66), (30, 66), (52, 66), (10, 66), (43, 66), (29, 66), (66, 74), (63, 66), (21, 66), (23, 66), (12, 66), (3, 66), (47, 66), (36, 66), (58, 66), (5, 66), (60, 66), (51, 66), (66, 70), (25, 66), (66, 67), (66, 73), (49, 66), (7, 66), (40, 66)}",150,22731,0.005835771560668945
