graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_25_38_0,25,38,1,"{(0, 10)}",1,51,0.0
Graph_25_38_1,25,38,1,"{(2, 5)}",1,51,0.0
Graph_25_76_0,25,76,1,"{(11, 17)}",1,51,0.0
Graph_25_76_1,25,76,3,"{(4, 15), (4, 8), (4, 14)}",3,156,0.0
Graph_25_151_0,25,151,8,"{(6, 18), (6, 14), (2, 6), (6, 10), (5, 6), (6, 16), (6, 9), (6, 22)}",8,436,0.0
Graph_25_151_1,25,151,7,"{(5, 21), (1, 5), (5, 20), (4, 5), (5, 16), (2, 5), (5, 18)}",7,378,0.0
Graph_25_226_0,25,226,15,"{(14, 24), (13, 14), (3, 14), (14, 17), (14, 23), (10, 14), (6, 14), (1, 14), (14, 19), (14, 22), (14, 18), (11, 14), (14, 15), (12, 14), (7, 14)}",15,870,0.0
Graph_25_226_1,25,226,14,"{(8, 24), (14, 24), (20, 24), (15, 24), (5, 24), (6, 24), (11, 24), (7, 24), (21, 24), (0, 24), (12, 24), (18, 24), (2, 24), (13, 24)}",14,805,0.00493168830871582
Graph_25_300_0,25,300,24,"{(0, 2), (0, 5), (0, 8), (0, 14), (0, 11), (0, 17), (0, 23), (0, 20), (0, 1), (0, 7), (0, 4), (0, 10), (0, 16), (0, 13), (0, 19), (0, 22), (0, 3), (0, 9), (0, 6), (0, 12), (0, 15), (0, 21), (0, 18), (0, 24)}",24,1500,0.0
Graph_25_300_1,25,300,24,"{(0, 2), (0, 5), (0, 8), (0, 14), (0, 11), (0, 17), (0, 23), (0, 20), (0, 1), (0, 7), (0, 4), (0, 10), (0, 16), (0, 13), (0, 19), (0, 22), (0, 3), (0, 9), (0, 6), (0, 12), (0, 15), (0, 21), (0, 18), (0, 24)}",24,1500,0.0
Graph_50_154_0,50,154,3,"{(4, 9), (9, 11), (9, 40)}",3,306,0.0
Graph_50_154_1,50,154,3,"{(10, 45), (2, 10), (10, 28)}",3,306,0.0
Graph_50_307_0,50,307,6,"{(9, 45), (9, 19), (4, 9), (9, 34), (9, 40), (9, 11)}",6,621,0.0014264583587646484
Graph_50_307_1,50,307,8,"{(6, 31), (31, 43), (31, 46), (31, 36), (9, 31), (4, 31), (24, 31), (8, 31)}",8,836,0.001438140869140625
Graph_50_613_0,50,613,18,"{(5, 31), (5, 37), (5, 40), (5, 24), (1, 5), (5, 8), (5, 14), (5, 27), (5, 33), (5, 18), (5, 13), (5, 42), (5, 41), (5, 10), (5, 26), (5, 35), (5, 48), (3, 5)}",18,1971,0.0009336471557617188
Graph_50_613_1,50,613,16,"{(3, 40), (3, 24), (3, 30), (3, 8), (3, 14), (3, 27), (3, 17), (3, 46), (3, 7), (3, 42), (3, 29), (3, 13), (3, 32), (3, 38), (3, 41), (3, 15)}",16,1736,0.0
Graph_50_919_0,50,919,30,"{(1, 31), (12, 31), (23, 31), (5, 31), (25, 31), (16, 31), (18, 31), (29, 31), (7, 31), (20, 31), (31, 34), (31, 43), (31, 46), (9, 31), (11, 31), (24, 31), (13, 31), (15, 31), (26, 31), (6, 31), (31, 33), (31, 39), (31, 36), (31, 42), (4, 31), (31, 45), (28, 31), (31, 48), (17, 31), (8, 31)}",30,3465,0.0
Graph_50_919_1,50,919,30,"{(16, 26), (7, 26), (26, 27), (18, 26), (26, 39), (26, 36), (20, 26), (26, 42), (26, 45), (9, 26), (11, 26), (0, 26), (2, 26), (13, 26), (15, 26), (26, 32), (6, 26), (26, 38), (26, 44), (26, 41), (26, 47), (17, 26), (8, 26), (10, 26), (1, 26), (26, 28), (23, 26), (3, 26), (14, 26), (5, 26)}",30,3465,0.006822109222412109
Graph_50_1225_0,50,1225,49,"{(0, 30), (0, 36), (0, 42), (0, 39), (0, 45), (0, 48), (0, 2), (0, 5), (0, 8), (0, 14), (0, 11), (0, 17), (0, 23), (0, 20), (0, 26), (0, 29), (0, 35), (0, 32), (0, 38), (0, 41), (0, 47), (0, 44), (0, 1), (0, 7), (0, 4), (0, 10), (0, 16), (0, 13), (0, 19), (0, 22), (0, 28), (0, 25), (0, 31), (0, 34), (0, 40), (0, 37), (0, 43), (0, 46), (0, 49), (0, 3), (0, 9), (0, 6), (0, 12), (0, 15), (0, 21), (0, 18), (0, 24), (0, 27), (0, 33)}",49,6125,0.007020235061645508
Graph_50_1225_1,50,1225,49,"{(0, 30), (0, 36), (0, 42), (0, 39), (0, 45), (0, 48), (0, 2), (0, 5), (0, 8), (0, 14), (0, 11), (0, 17), (0, 23), (0, 20), (0, 26), (0, 29), (0, 35), (0, 32), (0, 38), (0, 41), (0, 47), (0, 44), (0, 1), (0, 7), (0, 4), (0, 10), (0, 16), (0, 13), (0, 19), (0, 22), (0, 28), (0, 25), (0, 31), (0, 34), (0, 40), (0, 37), (0, 43), (0, 46), (0, 49), (0, 3), (0, 9), (0, 6), (0, 12), (0, 15), (0, 21), (0, 18), (0, 24), (0, 27), (0, 33)}",49,6125,0.006850004196166992
Graph_75_347_0,75,347,2,"{(25, 56), (53, 56)}",2,303,0.00043392181396484375
Graph_75_347_1,75,347,2,"{(21, 64), (21, 34)}",2,303,0.0
Graph_75_694_0,75,694,11,"{(16, 20), (20, 69), (20, 24), (12, 20), (7, 20), (20, 46), (14, 20), (20, 71), (15, 20), (5, 20), (20, 37)}",11,1716,0.0
Graph_75_694_1,75,694,10,"{(59, 71), (21, 71), (38, 71), (16, 71), (18, 71), (40, 71), (71, 74), (36, 71), (32, 71), (65, 71)}",10,1555,0.0
Graph_75_1388_0,75,1388,26,"{(67, 71), (69, 71), (58, 71), (25, 71), (7, 71), (40, 71), (20, 71), (53, 71), (64, 71), (22, 71), (55, 71), (42, 71), (0, 71), (44, 71), (2, 71), (24, 71), (46, 71), (15, 71), (39, 71), (17, 71), (50, 71), (61, 71), (19, 71), (52, 71), (30, 71), (43, 71)}",26,4251,0.0
Graph_75_1388_1,75,1388,25,"{(0, 39), (11, 39), (26, 39), (15, 39), (39, 42), (39, 60), (39, 57), (4, 39), (28, 39), (39, 41), (21, 39), (39, 53), (39, 56), (12, 39), (39, 68), (39, 71), (39, 46), (22, 39), (39, 49), (20, 39), (39, 58), (39, 55), (39, 61), (39, 67), (39, 64)}",25,4075,0.004162311553955078
Graph_75_2082_0,75,2082,47,"{(53, 66), (55, 66), (9, 66), (42, 66), (0, 66), (33, 66), (44, 66), (11, 66), (2, 66), (24, 66), (57, 66), (46, 66), (66, 69), (66, 72), (26, 66), (6, 66), (39, 66), (4, 66), (17, 66), (61, 66), (50, 66), (28, 66), (8, 66), (30, 66), (52, 66), (10, 66), (43, 66), (29, 66), (66, 74), (63, 66), (21, 66), (23, 66), (12, 66), (3, 66), (47, 66), (58, 66), (36, 66), (5, 66), (60, 66), (51, 66), (66, 70), (25, 66), (66, 67), (66, 73), (49, 66), (7, 66), (40, 66)}",47,8178,0.007188081741333008
Graph_75_2082_1,75,2082,46,"{(27, 47), (27, 53), (2, 27), (27, 50), (27, 56), (15, 27), (27, 59), (27, 68), (27, 71), (27, 28), (17, 27), (27, 31), (27, 37), (27, 34), (27, 46), (27, 43), (27, 49), (27, 52), (27, 55), (27, 61), (27, 64), (27, 70), (21, 27), (27, 67), (27, 73), (12, 27), (23, 27), (3, 27), (14, 27), (27, 30), (11, 27), (27, 33), (27, 39), (27, 36), (27, 42), (27, 45), (27, 54), (27, 63), (7, 27), (18, 27), (27, 66), (22, 27), (27, 32), (27, 35), (9, 27), (0, 27)}",46,7981,0.00655055046081543
Graph_75_2775_0,75,2775,74,"{(0, 30), (0, 36), (0, 42), (0, 39), (0, 45), (0, 48), (0, 54), (0, 51), (0, 57), (0, 2), (0, 60), (0, 66), (0, 5), (0, 63), (0, 69), (0, 8), (0, 14), (0, 72), (0, 11), (0, 17), (0, 23), (0, 20), (0, 26), (0, 29), (0, 35), (0, 32), (0, 38), (0, 41), (0, 47), (0, 44), (0, 50), (0, 53), (0, 59), (0, 56), (0, 62), (0, 68), (0, 7), (0, 1), (0, 65), (0, 4), (0, 10), (0, 16), (0, 71), (0, 74), (0, 13), (0, 19), (0, 22), (0, 28), (0, 25), (0, 31), (0, 34), (0, 40), (0, 37), (0, 43), (0, 46), (0, 52), (0, 49), (0, 55), (0, 61), (0, 58), (0, 64), (0, 3), (0, 9), (0, 67), (0, 73), (0, 6), (0, 12), (0, 70), (0, 15), (0, 21), (0, 18), (0, 24), (0, 27), (0, 33)}",74,13875,0.021334409713745117
Graph_75_2775_1,75,2775,74,"{(0, 30), (0, 36), (0, 42), (0, 39), (0, 45), (0, 48), (0, 54), (0, 51), (0, 57), (0, 2), (0, 60), (0, 66), (0, 5), (0, 63), (0, 69), (0, 8), (0, 14), (0, 72), (0, 11), (0, 17), (0, 23), (0, 20), (0, 26), (0, 29), (0, 35), (0, 32), (0, 38), (0, 41), (0, 47), (0, 44), (0, 50), (0, 53), (0, 59), (0, 56), (0, 62), (0, 68), (0, 7), (0, 1), (0, 65), (0, 4), (0, 10), (0, 16), (0, 71), (0, 74), (0, 13), (0, 19), (0, 22), (0, 28), (0, 25), (0, 31), (0, 34), (0, 40), (0, 37), (0, 43), (0, 46), (0, 52), (0, 49), (0, 55), (0, 61), (0, 58), (0, 64), (0, 3), (0, 9), (0, 67), (0, 73), (0, 6), (0, 12), (0, 70), (0, 15), (0, 21), (0, 18), (0, 24), (0, 27), (0, 33)}",74,13875,0.015698909759521484
Graph_100_619_0,100,619,4,"{(12, 94), (70, 94), (14, 94), (1, 94)}",4,810,0.0
Graph_100_619_1,100,619,4,"{(6, 85), (6, 14), (6, 26), (6, 25)}",4,810,0.0
Graph_100_1238_0,100,1238,15,"{(26, 79), (15, 79), (51, 79), (79, 88), (29, 79), (25, 79), (42, 79), (79, 92), (79, 89), (79, 83), (44, 79), (69, 79), (78, 79), (62, 79), (41, 79)}",15,3120,0.0009458065032958984
Graph_100_1238_1,100,1238,13,"{(8, 94), (8, 62), (8, 68), (8, 42), (8, 55), (8, 10), (8, 74), (8, 93), (8, 32), (8, 99), (8, 12), (8, 41), (0, 8)}",13,2691,0.005950927734375
Graph_100_2476_0,100,2476,37,"{(22, 63), (63, 80), (63, 89), (63, 95), (33, 63), (13, 63), (35, 63), (26, 63), (2, 63), (15, 63), (48, 63), (6, 63), (63, 73), (59, 63), (63, 79), (63, 85), (4, 63), (37, 63), (63, 88), (16, 63), (8, 63), (52, 63), (17, 63), (63, 97), (43, 63), (63, 66), (54, 63), (63, 69), (23, 63), (34, 63), (36, 63), (63, 90), (63, 93), (63, 96), (40, 63), (62, 63), (63, 68)}",37,8103,0.007391452789306641
Graph_100_2476_1,100,2476,35,"{(48, 82), (82, 87), (72, 82), (82, 93), (82, 99), (17, 82), (50, 82), (4, 82), (30, 82), (74, 82), (10, 82), (76, 82), (65, 82), (1, 82), (63, 82), (12, 82), (21, 82), (67, 82), (80, 82), (69, 82), (5, 82), (51, 82), (38, 82), (82, 85), (29, 82), (82, 91), (82, 94), (64, 82), (82, 97), (22, 82), (26, 82), (44, 82), (9, 82), (0, 82), (15, 82)}",35,7630,0.008951902389526367
