graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_25_38_0,25,38,1,"{(10, 13)}",50,25892,0.0171658992767334
Graph_25_38_1,25,38,1,"{(2, 13)}",100,26996,0.009743690490722656
Graph_25_76_0,25,76,1,"{(11, 17)}",50,26234,0.011165857315063477
Graph_25_76_1,25,76,3,"{(4, 15), (4, 8), (4, 14)}",50,26234,0.011631965637207031
Graph_25_151_0,25,151,10,"{(11, 13), (11, 22), (0, 11), (11, 21), (11, 17), (9, 11), (4, 11), (7, 11), (8, 11), (3, 11)}",50,26909,0.011608362197875977
Graph_25_151_1,25,151,7,"{(5, 21), (1, 5), (5, 20), (4, 5), (5, 16), (2, 5), (5, 18)}",75,27913,0.014734983444213867
Graph_25_226_0,25,226,15,"{(13, 14), (14, 24), (3, 14), (10, 14), (14, 17), (14, 23), (6, 14), (1, 14), (14, 19), (14, 22), (14, 18), (11, 14), (14, 15), (12, 14), (7, 14)}",50,27584,0.018222332000732422
Graph_25_226_1,25,226,14,"{(8, 24), (14, 24), (20, 24), (15, 24), (5, 24), (6, 24), (11, 24), (18, 24), (21, 24), (0, 24), (12, 24), (7, 24), (2, 24), (13, 24)}",50,27584,0.016428232192993164
Graph_25_300_0,25,300,24,"{(9, 11), (11, 14), (2, 11), (0, 11), (11, 17), (11, 23), (11, 20), (6, 11), (4, 11), (8, 11), (10, 11), (11, 16), (1, 11), (11, 13), (11, 19), (11, 22), (3, 11), (5, 11), (11, 12), (11, 15), (11, 21), (11, 18), (11, 24), (7, 11)}",50,28250,0.020977258682250977
Graph_25_300_1,25,300,24,"{(9, 11), (11, 14), (2, 11), (0, 11), (11, 17), (11, 23), (11, 20), (6, 11), (4, 11), (8, 11), (10, 11), (11, 16), (1, 11), (11, 13), (11, 19), (11, 22), (3, 11), (5, 11), (11, 12), (11, 15), (11, 21), (11, 18), (11, 24), (7, 11)}",50,28250,0.017318248748779297
Graph_50_154_0,50,154,4,"{(4, 15), (15, 40), (0, 15), (15, 26)}",200,57818,0.021762371063232422
Graph_50_154_1,50,154,3,"{(26, 28), (10, 28), (8, 28)}",150,55777,0.023247480392456055
Graph_50_307_0,50,307,6,"{(28, 33), (21, 28), (16, 28), (17, 28), (28, 41), (28, 31)}",100,55113,0.026909589767456055
Graph_50_307_1,50,307,8,"{(16, 35), (33, 35), (23, 35), (7, 35), (24, 35), (8, 35), (35, 44), (5, 35)}",150,57766,0.024774551391601562
Graph_50_613_0,50,613,18,"{(9, 10), (4, 10), (10, 15), (10, 43), (10, 27), (10, 49), (10, 17), (8, 10), (3, 10), (10, 13), (10, 23), (10, 48), (5, 10), (10, 16), (10, 35), (10, 25), (10, 44), (10, 12)}",100,57867,0.04402494430541992
Graph_50_613_1,50,613,16,"{(3, 40), (3, 24), (3, 8), (3, 14), (3, 30), (3, 27), (3, 17), (3, 46), (3, 7), (3, 42), (3, 29), (3, 13), (3, 32), (3, 38), (3, 41), (3, 15)}",150,61744,0.04442620277404785
Graph_50_919_0,50,919,30,"{(1, 31), (12, 31), (23, 31), (5, 31), (25, 31), (16, 31), (18, 31), (7, 31), (29, 31), (20, 31), (31, 34), (31, 43), (31, 46), (9, 31), (11, 31), (24, 31), (13, 31), (26, 31), (15, 31), (6, 31), (31, 33), (31, 39), (31, 36), (31, 42), (4, 31), (31, 45), (17, 31), (28, 31), (31, 48), (8, 31)}",150,65722,0.043712615966796875
Graph_50_919_1,50,919,30,"{(2, 33), (13, 33), (33, 42), (33, 39), (6, 33), (4, 33), (28, 33), (8, 33), (30, 33), (33, 38), (1, 33), (33, 44), (33, 47), (12, 33), (23, 33), (14, 33), (5, 33), (27, 33), (33, 37), (25, 33), (33, 34), (33, 40), (16, 33), (33, 43), (33, 49), (33, 46), (7, 33), (29, 33), (22, 33), (9, 33)}",100,60621,0.048592567443847656
