graph,nodes,edges,min_cut,solutions_tested,basic_operations,time_elapsed
Graph_25_38_0,25,38,1,1335,169091,0.040029287338256836
Graph_25_38_1,25,38,1,1724,212270,0.04925203323364258
Graph_25_76_0,25,76,1,5179,650739,0.14455533027648926
Graph_25_76_1,25,76,3,6300,784463,0.18984699249267578
Graph_25_151_0,25,151,8,6300,823997,0.15448355674743652
Graph_25_151_1,25,151,7,6300,815558,0.1533064842224121
Graph_25_226_0,25,226,15,6300,840220,0.2033236026763916
Graph_25_226_1,25,226,14,6300,851195,0.22600650787353516
Graph_25_300_0,25,300,24,6300,877181,0.1777355670928955
Graph_25_300_1,25,300,24,6300,869432,0.24242353439331055
Graph_50_154_0,50,154,3,6300,2924179,0.545121431350708
Graph_50_154_1,50,154,3,6300,2920945,0.5723342895507812
Graph_50_307_0,50,307,6,6300,3093844,0.6534914970397949
Graph_50_307_1,50,307,8,6300,3139581,0.7829022407531738
Graph_50_613_0,50,613,18,6300,3249389,0.9062159061431885
Graph_50_613_1,50,613,16,6300,3234920,0.924004077911377
Graph_50_919_0,50,919,30,6300,3310127,1.0229883193969727
Graph_50_919_1,50,919,30,6300,3395899,1.0121409893035889
Graph_50_1225_0,50,1225,49,6300,3457200,1.0915000438690186
Graph_50_1225_1,50,1225,49,6300,3434523,1.2217655181884766
Graph_75_347_0,75,347,2,6300,6662869,1.442169427871704
Graph_75_347_1,75,347,2,6300,6687632,1.2937054634094238
Graph_75_694_0,75,694,11,6300,7071393,1.7794291973114014
Graph_75_694_1,75,694,10,6300,6902917,1.723978042602539
Graph_75_1388_0,75,1388,26,6300,7293314,2.5343451499938965
Graph_75_1388_1,75,1388,25,6300,7277192,2.5003609657287598
Graph_75_2082_0,75,2082,49,6300,7507689,2.827315092086792
Graph_75_2082_1,75,2082,48,6300,7459846,2.7960238456726074
Graph_75_2775_0,75,2775,74,6300,7694626,3.0538363456726074
Graph_75_2775_1,75,2775,74,6300,7585391,3.0512824058532715
Graph_100_619_0,100,619,4,6300,11852856,2.4580678939819336
Graph_100_619_1,100,619,4,6300,11966200,2.7882745265960693
Graph_100_1238_0,100,1238,15,6300,12478950,3.5587706565856934
Graph_100_1238_1,100,1238,13,6300,12418137,4.0654003620147705
Graph_100_2476_0,100,2476,37,6300,12908127,5.000937223434448
Graph_100_2476_1,100,2476,35,6300,13001060,4.859273433685303
Graph_100_3713_0,100,3713,68,5418,11486297,5.03237771987915
Graph_100_3713_1,100,3713,66,5355,11418991,5.000561714172363
Graph_100_4950_0,100,4950,99,5355,11568965,5.062697172164917
Graph_100_4950_1,100,4950,99,4536,9829570,5.025854587554932
Graph_125_969_0,125,969,8,6300,18900711,4.327155351638794
Graph_125_969_1,125,969,8,6300,18743346,4.227452993392944
Graph_125_1938_0,125,1938,21,5166,16067451,5.0277557373046875
Graph_125_1938_1,125,1938,23,5355,16468099,5.0117950439453125
Graph_125_3876_0,125,3876,50,3465,11266046,5.034434080123901
Graph_125_3876_1,125,3876,53,3591,11436843,5.094988584518433
Graph_125_5813_0,125,5813,89,2898,9551234,5.050870895385742
Graph_125_5813_1,125,5813,87,2961,9875785,5.0312347412109375
Graph_125_7750_0,125,7750,124,2898,9674376,5.038048267364502
Graph_125_7750_1,125,7750,124,2961,9960869,5.099297046661377
Graph_150_1397_0,150,1397,10,4788,20711018,5.037425994873047
Graph_150_1397_1,150,1397,10,4914,21325108,5.0482683181762695
Graph_150_2794_0,150,2794,25,3213,14366967,5.029700994491577
Graph_150_2794_1,150,2794,27,3339,14821024,5.030759811401367
Graph_150_5588_0,150,5588,63,2079,9616651,5.100072860717773
Graph_150_5588_1,150,5588,67,1953,9193755,5.025880813598633
Graph_150_8382_0,150,8382,105,1764,8368931,5.074951171875
