graph,nodes,edges,min_cut,solutions_tested,basic_operations,time_elapsed
Graph_25_38_0,25,38,1,2,3000,0.00551915168762207
Graph_25_38_1,25,38,1,1,1536,0.0
Graph_25_76_0,25,76,1,2,6256,0.0
Graph_25_76_1,25,76,3,32,318282,0.040676116943359375
Graph_25_151_0,25,151,8,37,652889,0.08373641967773438
Graph_25_151_1,25,151,7,30,651366,0.09278082847595215
Graph_25_226_0,25,226,15,38,990239,0.14435338973999023
Graph_25_226_1,25,226,14,35,990642,0.14109182357788086
Graph_25_300_0,25,300,24,38,1322238,0.22313332557678223
Graph_25_300_1,25,300,24,38,1322559,0.24228763580322266
Graph_50_154_0,50,154,3,37,1229692,0.13104486465454102
Graph_50_154_1,50,154,3,32,1227190,0.13101410865783691
Graph_50_307_0,50,307,6,44,2566219,0.31070685386657715
Graph_50_307_1,50,307,8,49,2571316,0.3278930187225342
Graph_50_613_0,50,613,18,46,5269125,0.8832945823669434
Graph_50_613_1,50,613,16,47,5246047,0.8516881465911865
Graph_50_919_0,50,919,30,41,7893880,1.6672804355621338
Graph_50_919_1,50,919,30,51,7913279,1.7031209468841553
Graph_50_1225_0,50,1225,49,48,10626069,2.798029661178589
Graph_50_1225_1,50,1225,49,52,10649949,2.782470226287842
Graph_75_347_0,75,347,2,36,4210276,0.49278688430786133
Graph_75_347_1,75,347,2,30,4181070,0.47559237480163574
Graph_75_694_0,75,694,11,51,8750051,1.2364113330841064
Graph_75_694_1,75,694,10,45,8720909,1.261136531829834
Graph_75_1388_0,75,1388,26,55,17869767,3.951303243637085
Graph_75_1388_1,75,1388,25,57,17765474,3.8091518878936768
Graph_75_2082_0,75,2082,47,48,16959043,5.058645248413086
Graph_75_2082_1,75,2082,46,43,17248638,5.057327032089233
Graph_75_2775_0,75,2775,74,33,14007815,5.035101413726807
Graph_75_2775_1,75,2775,74,32,14089866,5.010069370269775
Graph_100_619_0,100,619,4,44,10136772,1.2749240398406982
Graph_100_619_1,100,619,4,42,10122028,1.2164320945739746
Graph_100_1238_0,100,1238,15,58,20927148,3.5050711631774902
Graph_100_1238_1,100,1238,13,52,20847361,3.4202210903167725
Graph_100_2476_0,100,2476,39,37,19487034,5.107433319091797
Graph_100_2476_1,100,2476,35,37,18628546,5.031419277191162
Graph_100_3713_0,100,3713,62,19,14081579,5.188150644302368
Graph_100_3713_1,100,3713,65,19,13386439,5.00291109085083
Graph_100_4950_0,100,4950,99,12,11136284,5.266175746917725
Graph_100_4950_1,100,4950,99,14,11997973,5.8145177364349365
Graph_125_969_0,125,969,8,59,20054643,2.6587986946105957
Graph_125_969_1,125,969,8,54,19986105,2.674583911895752
Graph_125_1938_0,125,1938,21,48,25283025,5.055424928665161
Graph_125_1938_1,125,1938,21,39,24975005,5.0040788650512695
Graph_125_3876_0,125,3876,51,17,16605108,5.267715930938721
Graph_125_3876_1,125,3876,49,18,15767566,5.16440486907959
Graph_125_5813_0,125,5813,89,9,11309356,5.163143873214722
Graph_125_5813_1,125,5813,85,10,12534669,5.322601318359375
Graph_125_7750_0,125,7750,124,6,10023120,5.956448078155518
Graph_125_7750_1,125,7750,124,4,8500508,5.46724534034729
Graph_150_1397_0,150,1397,10,60,33841161,5.025994062423706
Graph_150_1397_1,150,1397,10,51,33401409,5.003137826919556
Graph_150_2794_0,150,2794,26,28,22735727,5.112785577774048
Graph_150_2794_1,150,2794,25,25,21355760,5.141768217086792
Graph_150_5588_0,150,5588,63,10,14299984,5.0244364738464355
Graph_150_5588_1,150,5588,69,10,14483195,5.400803804397583
Graph_150_8382_0,150,8382,106,5,10979789,5.618959903717041
Graph_150_8382_1,150,8382,109,5,10886786,5.660840034484863
Graph_150_11175_0,150,11175,149,3,8704269,5.784868478775024
Graph_150_11175_1,150,11175,149,3,8731150,6.29928183555603
Graph_175_1904_0,175,1904,13,44,30043600,5.0241923332214355
Graph_175_1904_1,175,1904,12,40,29977078,5.023936033248901
Graph_175_3807_0,175,3807,29,18,20423080,5.099616527557373
Graph_175_3807_1,175,3807,34,18,20458365,5.1813623905181885
Graph_175_7613_0,175,7613,75,6,13588006,5.5266735553741455
Graph_175_7613_1,175,7613,75,6,13591195,5.977663993835449
Graph_175_11419_0,175,11419,126,2,10231021,5.723328113555908
Graph_175_11419_1,175,11419,124,3,10453704,6.895275592803955
Graph_175_15225_0,175,15225,174,1,4652845,5.759854793548584
Graph_175_15225_1,175,15225,174,1,9100675,7.036039113998413
Graph_200_2488_0,200,2488,13,26,24114788,5.095364093780518
Graph_200_2488_1,200,2488,12,24,22530549,5.226203441619873
Graph_200_4976_0,200,4976,40,8,15194869,5.004242897033691
Graph_200_4976_1,200,4976,37,10,16928099,5.378127336502075
Graph_200_9951_0,200,9951,94,3,10284765,5.724289655685425
Graph_200_9951_1,200,9951,88,3,10152731,6.081676244735718
Graph_200_14926_0,200,14926,135,2,10283079,6.851710557937622
Graph_200_14926_1,200,14926,148,2,10166237,6.671402454376221
Graph_200_19900_0,200,19900,199,1,6906024,6.429972887039185
Graph_200_19900_1,200,19900,199,1,6841333,6.4702534675598145
Graph_250_3891_0,250,3891,19,10,21294880,5.244583368301392
Graph_250_3891_1,250,3891,20,13,22744212,5.003909111022949
Graph_250_7782_0,250,7782,54,5,16546393,5.676067352294922
Graph_250_7782_1,250,7782,51,5,16723422,6.129428863525391
Graph_250_15563_0,250,15563,107,2,13294826,8.024272203445435
Graph_250_15563_1,250,15563,118,1,6711920,6.592808485031128
Graph_250_23344_0,250,23344,190,1,9904072,9.340053796768188
Graph_250_23344_1,250,23344,189,1,10180929,7.216930389404297
Graph_250_31125_0,250,31125,249,1,13572631,19.72679042816162
Graph_250_31125_1,250,31125,249,1,13178391,15.78366994857788
Graph_300_5607_0,300,5607,30,7,20009418,5.478701114654541
Graph_300_5607_1,300,5607,27,7,19853027,5.411395072937012
Graph_300_11213_0,300,11213,70,2,11524348,5.746809005737305
Graph_300_11213_1,300,11213,72,3,17309805,6.603773593902588
Graph_300_22426_0,300,22426,144,1,11810284,9.550229549407959
Graph_300_22426_1,300,22426,143,1,11400544,8.860185146331787
Graph_300_33638_0,300,33638,213,1,17467314,21.57368564605713
Graph_300_33638_1,300,33638,211,1,17232224,16.528759717941284
Graph_300_44850_0,300,44850,299,1,23327070,34.20364785194397
Graph_300_44850_1,300,44850,299,1,23871976,38.76105737686157
Graph_350_7635_0,350,7635,23,4,18179878,5.035974979400635
Graph_350_7635_1,350,7635,34,4,18002859,5.119595050811768
Graph_350_15269_0,350,15269,72,2,18280101,8.44342851638794
Graph_350_15269_1,350,15269,59,2,18107215,7.311837196350098
Graph_350_30538_0,350,30538,176,1,17999077,12.737499237060547
Graph_350_30538_1,350,30538,179,1,18188108,13.693992376327515
Graph_350_45807_0,350,45807,263,1,28070451,31.633140802383423
Graph_350_45807_1,350,45807,253,1,27764079,44.861953020095825
Graph_350_61075_0,350,61075,349,1,36913063,62.56672167778015
Graph_350_61075_1,350,61075,349,1,36409125,58.37415885925293
Graph_400_9976_0,400,9976,34,3,20358158,5.697260141372681
Graph_400_9976_1,400,9976,37,3,20248073,6.381330966949463
Graph_400_19951_0,400,19951,92,1,13582093,7.45697808265686
Graph_400_19951_1,400,19951,89,1,13607089,6.255819082260132
Graph_400_39901_0,400,39901,190,1,27111880,26.594982624053955
Graph_400_39901_1,400,39901,213,1,27066662,23.44112205505371
Graph_400_59851_0,400,59851,290,1,41180728,67.44036388397217
Graph_400_59851_1,400,59851,280,1,40448619,48.79969143867493
Graph_400_79800_0,400,79800,399,1,55393986,91.24784922599792
Graph_400_79800_1,400,79800,399,1,54443745,97.36954259872437
Graph_450_12629_0,450,12629,40,2,19239867,5.577949285507202
Graph_450_12629_1,450,12629,47,2,19416187,5.5604283809661865
Graph_450_25257_0,450,25257,97,1,19298591,13.898683309555054
Graph_450_25257_1,450,25257,99,1,19342749,11.204694271087646
Graph_450_50513_0,450,50513,219,1,39454218,43.200618743896484
Graph_450_50513_1,450,50513,228,1,39388499,34.958662033081055
Graph_450_75769_0,450,75769,331,1,59604573,93.87087035179138
Graph_450_75769_1,450,75769,332,1,59154211,156.36132431030273
Graph_450_101025_0,450,101025,449,1,78381342,164.96727108955383
Graph_450_101025_1,450,101025,449,1,76894251,130.34583950042725
Graph_500_15594_0,500,15594,51,2,26541019,8.963860511779785
Graph_500_15594_1,500,15594,59,2,26290023,7.9021806716918945
Graph_500_31188_0,500,31188,111,1,26888734,19.12143874168396
Graph_500_31188_1,500,31188,128,1,26546409,14.434292793273926
