graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_3_2_0,3,2,1,"{(0, 2)}",3,20,0.0
Graph_3_3_0,3,3,2,"{(0, 1), (0, 2)}",3,24,0.0
Graph_4_3_0,4,3,1,"{(2, 3)}",8,64,0.0
Graph_4_4_0,4,4,1,"{(2, 3)}",8,72,0.0
Graph_4_5_0,4,5,2,"{(2, 3), (1, 2)}",8,80,0.0
Graph_4_6_0,4,6,3,"{(0, 1), (1, 2), (1, 3)}",8,88,0.0
Graph_5_4_0,5,4,1,"{(3, 4)}",10,87,0.0
Graph_5_6_0,5,6,1,"{(1, 3)}",10,103,0.0
Graph_5_8_0,5,8,3,"{(2, 3), (2, 4), (1, 2)}",10,119,0.0
Graph_5_10_0,5,10,4,"{(2, 4), (0, 4), (3, 4), (1, 4)}",10,135,0.0
Graph_6_5_0,6,5,1,"{(0, 3)}",12,112,0.0
Graph_6_8_0,6,8,2,"{(3, 4), (1, 5)}",12,136,0.0
Graph_6_12_0,6,12,4,"{(2, 3), (0, 2), (1, 2), (2, 5)}",12,168,0.0
Graph_6_15_0,6,15,5,"{(2, 4), (0, 4), (3, 4), (1, 4), (4, 5)}",12,192,0.0
Graph_7_6_0,7,6,1,"{(0, 4)}",14,139,0.0
Graph_7_11_0,7,11,2,"{(1, 6), (1, 2)}",14,179,0.0
Graph_7_16_0,7,16,3,"{(4, 5), (0, 4), (3, 4)}",14,219,0.0
Graph_7_21_0,7,21,6,"{(1, 5), (4, 5), (5, 6), (0, 5), (2, 5), (3, 5)}",14,259,0.0
Graph_8_7_0,8,7,1,"{(1, 6)}",16,168,0.0
Graph_8_7_1,8,7,1,"{(3, 4)}",16,168,0.0
Graph_8_7_2,8,7,1,"{(2, 7)}",16,168,0.0
Graph_8_7_3,8,7,1,"{(4, 5)}",16,168,0.0
Graph_8_7_4,8,7,1,"{(1, 6)}",16,168,0.0
Graph_8_8_0,8,8,1,"{(5, 6)}",16,176,0.0
Graph_8_8_1,8,8,1,"{(2, 7)}",16,176,0.0
Graph_8_8_2,8,8,1,"{(4, 6)}",16,176,0.0
Graph_8_8_3,8,8,1,"{(4, 7)}",16,176,0.0
Graph_8_8_4,8,8,1,"{(0, 6)}",16,176,0.0
Graph_8_15_0,8,15,1,"{(2, 5)}",16,232,0.01596546173095703
Graph_8_15_1,8,15,3,"{(3, 7), (5, 7), (2, 7)}",16,232,0.0
Graph_8_15_2,8,15,2,"{(2, 5), (2, 6)}",16,232,0.0
Graph_8_15_3,8,15,1,"{(3, 5)}",16,232,0.0
Graph_8_15_4,8,15,2,"{(1, 7), (2, 7)}",16,232,0.0
Graph_8_22_0,8,22,3,"{(0, 3), (1, 3), (3, 6)}",16,288,0.0
Graph_8_22_1,8,22,4,"{(2, 4), (1, 2), (2, 5), (2, 6)}",16,288,0.0
Graph_8_22_2,8,22,4,"{(1, 6), (4, 6), (5, 6), (0, 6)}",16,288,0.0
