graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_3_2_0,3,2,1,"{(0, 2)}",6,3018,0.0
Graph_3_3_0,3,3,2,"{(0, 1), (0, 2)}",3,3000,0.015840768814086914
Graph_4_3_0,4,3,1,"{(1, 3)}",4,3997,0.0
Graph_4_4_0,4,4,1,"{(2, 3)}",8,4040,0.0
Graph_4_5_0,4,5,2,"{(0, 1), (0, 3)}",8,4049,0.0
Graph_4_6_0,4,6,3,"{(0, 1), (1, 2), (1, 3)}",8,4058,0.011973857879638672
Graph_5_4_0,5,4,1,"{(0, 3)}",10,5046,0.003000497817993164
Graph_5_6_0,5,6,1,"{(1, 3)}",10,5064,0.001985788345336914
Graph_5_8_0,5,8,3,"{(0, 1), (1, 2), (1, 3)}",10,5082,0.0020122528076171875
Graph_5_10_0,5,10,4,"{(0, 1), (1, 2), (1, 3), (1, 4)}",10,5100,0.0026595592498779297
Graph_6_5_0,6,5,1,"{(0, 3)}",12,6063,0.0030057430267333984
Graph_6_8_0,6,8,2,"{(2, 3), (1, 2)}",12,6090,0.0032677650451660156
Graph_6_12_0,6,12,3,"{(4, 5), (0, 4), (3, 4)}",12,6126,0.0030128955841064453
Graph_6_15_0,6,15,5,"{(2, 4), (1, 2), (2, 3), (0, 2), (2, 5)}",12,6153,0.0029697418212890625
Graph_7_6_0,7,6,1,"{(2, 3)}",14,7082,0.0036745071411132812
Graph_7_11_0,7,11,2,"{(1, 6), (1, 2)}",14,7127,0.0030145645141601562
Graph_7_16_0,7,16,4,"{(2, 3), (1, 2), (2, 5), (2, 6)}",14,7172,0.0037822723388671875
Graph_7_21_0,7,21,6,"{(2, 4), (1, 2), (2, 3), (0, 2), (2, 6), (2, 5)}",14,7217,0.003932952880859375
Graph_8_7_0,8,7,1,"{(1, 6)}",16,8103,0.004005908966064453
Graph_8_7_1,8,7,1,"{(0, 6)}",16,8103,0.004430294036865234
Graph_8_7_2,8,7,1,"{(2, 7)}",16,8103,0.002497434616088867
Graph_8_7_3,8,7,1,"{(0, 4)}",16,8103,0.003011465072631836
Graph_8_7_4,8,7,1,"{(3, 7)}",16,8103,0.0013496875762939453
Graph_8_8_0,8,8,1,"{(1, 3)}",16,8112,0.0036275386810302734
Graph_8_8_1,8,8,1,"{(0, 1)}",16,8112,0.0010061264038085938
Graph_8_8_2,8,8,1,"{(0, 5)}",16,8112,0.0032525062561035156
Graph_8_8_3,8,8,1,"{(1, 5)}",24,8204,0.001008749008178711
Graph_8_8_4,8,8,1,"{(0, 7)}",24,8204,0.0030035972595214844
Graph_8_15_0,8,15,1,"{(2, 5)}",16,8175,0.002673625946044922
Graph_8_15_1,8,15,3,"{(3, 7), (5, 7), (2, 7)}",16,8175,0.003823518753051758
Graph_8_15_2,8,15,2,"{(6, 7), (4, 7)}",16,8175,0.0035858154296875
Graph_8_15_3,8,15,1,"{(3, 5)}",16,8175,0.0019106864929199219
Graph_8_15_4,8,15,3,"{(4, 5), (3, 5), (0, 5)}",16,8175,0.003779888153076172
Graph_8_22_0,8,22,3,"{(0, 3), (1, 3), (3, 6)}",16,8238,0.0040743350982666016
Graph_8_22_1,8,22,4,"{(2, 4), (1, 2), (2, 5), (2, 6)}",16,8238,0.0003750324249267578
Graph_8_22_2,8,22,4,"{(2, 3), (0, 3), (1, 3), (3, 5)}",16,8238,0.0041713714599609375
Graph_8_22_3,8,22,4,"{(0, 1), (0, 3), (0, 4), (0, 6)}",16,8238,0.004667997360229492
Graph_8_22_4,8,22,4,"{(1, 2), (2, 5), (2, 7), (2, 6)}",16,8238,0.0009961128234863281
Graph_8_28_0,8,28,7,"{(3, 4), (3, 7), (0, 3), (2, 3), (3, 6), (1, 3), (3, 5)}",16,8292,0.004056692123413086
Graph_9_8_0,9,8,1,"{(3, 8)}",18,9126,0.003816843032836914
Graph_9_8_1,9,8,1,"{(0, 6)}",18,9126,0.0041501522064208984
Graph_9_8_2,9,8,1,"{(1, 4)}",18,9126,0.003010988235473633
Graph_9_8_3,9,8,1,"{(3, 4)}",18,9126,0.002254009246826172
Graph_9_8_4,9,8,1,"{(1, 5)}",18,9126,0.0
Graph_9_10_0,9,10,2,"{(3, 7), (3, 6)}",18,9144,0.00422978401184082
Graph_9_10_1,9,10,1,"{(1, 2)}",18,9144,0.0020325183868408203
Graph_9_10_2,9,10,1,"{(2, 8)}",27,9256,0.0030105113983154297
Graph_9_10_3,9,10,1,"{(3, 6)}",18,9144,0.0004036426544189453
Graph_9_10_4,9,10,1,"{(5, 7)}",18,9144,0.005802154541015625
Graph_9_19_0,9,19,2,"{(5, 6), (0, 5)}",18,9225,0.004004955291748047
Graph_9_19_1,9,19,2,"{(0, 3), (0, 6)}",18,9225,0.0032455921173095703
Graph_9_19_2,9,19,2,"{(2, 5), (2, 8)}",18,9225,0.0009436607360839844
Graph_9_19_3,9,19,2,"{(2, 3), (1, 3)}",18,9225,0.004134654998779297
Graph_9_19_4,9,19,2,"{(1, 6), (1, 3)}",18,9225,0.0041463375091552734
Graph_9_28_0,9,28,4,"{(2, 3), (3, 7), (1, 3), (3, 6)}",18,9306,0.0010051727294921875
Graph_9_28_1,9,28,4,"{(0, 2), (1, 2), (2, 6), (2, 4)}",18,9306,0.004843235015869141
Graph_9_28_2,9,28,4,"{(1, 6), (1, 7), (1, 8), (1, 3)}",18,9306,0.004712820053100586
Graph_9_28_3,9,28,5,"{(0, 1), (0, 4), (0, 3), (0, 2), (0, 5)}",18,9306,0.004026651382446289
Graph_9_28_4,9,28,4,"{(1, 6), (1, 2), (1, 3), (1, 5)}",18,9306,0.004565000534057617
Graph_9_36_0,9,36,8,"{(3, 8), (3, 4), (3, 7), (0, 3), (2, 3), (3, 6), (1, 3), (3, 5)}",18,9378,0.0052738189697265625
Graph_10_9_0,10,9,1,"{(4, 6)}",30,10272,0.004227399826049805
Graph_10_9_1,10,9,1,"{(2, 6)}",20,10151,0.004435300827026367
Graph_10_9_2,10,9,1,"{(4, 8)}",20,10151,0.005140542984008789
Graph_10_9_3,10,9,1,"{(0, 6)}",20,10151,0.004023313522338867
Graph_10_9_4,10,9,1,"{(3, 8)}",20,10151,0.003858327865600586
Graph_10_12_0,10,12,2,"{(4, 7), (2, 8)}",20,10178,0.004866123199462891
Graph_10_12_1,10,12,1,"{(5, 6)}",30,10311,0.003954172134399414
Graph_10_12_2,10,12,1,"{(3, 9)}",30,10311,0.0
Graph_10_12_3,10,12,1,"{(3, 4)}",20,10178,0.0032520294189453125
Graph_10_12_4,10,12,1,"{(3, 8)}",20,10178,0.003895282745361328
Graph_10_23_0,10,23,2,"{(2, 5), (5, 6)}",20,10277,0.005159616470336914
Graph_10_23_1,10,23,3,"{(2, 3), (2, 7), (2, 8)}",20,10277,0.005011081695556641
Graph_10_23_2,10,23,3,"{(6, 7), (6, 8), (4, 6)}",20,10277,0.004250049591064453
Graph_10_23_3,10,23,2,"{(0, 8), (8, 9)}",20,10277,0.0043354034423828125
Graph_10_23_4,10,23,2,"{(3, 7), (3, 4)}",20,10277,0.004906415939331055
Graph_10_34_0,10,34,6,"{(2, 7), (3, 7), (7, 9), (1, 7), (4, 7), (7, 8)}",20,10376,0.004202127456665039
Graph_10_34_1,10,34,5,"{(6, 8), (4, 6), (0, 6), (6, 7), (5, 6)}",20,10376,0.006714820861816406
Graph_10_34_2,10,34,5,"{(0, 1), (0, 4), (0, 3), (0, 6), (0, 2)}",20,10376,0.0056018829345703125
Graph_10_34_3,10,34,5,"{(1, 2), (1, 5), (1, 4), (1, 7), (1, 3)}",20,10376,0.0050127506256103516
Graph_10_34_4,10,34,6,"{(2, 4), (0, 4), (3, 4), (4, 9), (4, 8), (4, 7)}",20,10376,0.005767345428466797
Graph_10_45_0,10,45,9,"{(2, 4), (0, 4), (3, 4), (4, 9), (4, 6), (1, 4), (4, 5), (4, 8), (4, 7)}",20,10475,0.004868507385253906
Graph_11_10_0,11,10,1,"{(0, 6)}",22,11178,0.004777431488037109
Graph_11_10_1,11,10,1,"{(4, 10)}",22,11178,0.0018734931945800781
Graph_11_10_2,11,10,1,"{(3, 6)}",22,11178,0.004571676254272461
Graph_11_10_3,11,10,1,"{(2, 10)}",22,11178,0.0040628910064697266
Graph_11_10_4,11,10,1,"{(4, 9)}",22,11178,0.0055353641510009766
Graph_11_14_0,11,14,1,"{(2, 3)}",22,11214,0.0
Graph_11_14_1,11,14,1,"{(2, 8)}",22,11214,0.0043506622314453125
Graph_11_14_2,11,14,1,"{(2, 3)}",33,11369,0.0047473907470703125
Graph_11_14_3,11,14,1,"{(3, 7)}",33,11369,0.00414729118347168
Graph_11_14_4,11,14,1,"{(1, 6)}",33,11369,0.004507541656494141
Graph_11_28_0,11,28,2,"{(1, 3), (3, 10)}",22,11340,0.004341840744018555
Graph_11_28_1,11,28,3,"{(2, 3), (2, 6), (2, 7)}",22,11340,0.005011081695556641
Graph_11_28_2,11,28,4,"{(2, 3), (3, 8), (3, 9), (3, 4)}",22,11340,0.006388664245605469
Graph_11_28_3,11,28,3,"{(2, 3), (2, 4), (2, 6)}",22,11340,0.004946708679199219
Graph_11_28_4,11,28,3,"{(6, 8), (8, 10), (4, 8)}",22,11340,0.0052852630615234375
Graph_11_42_0,11,42,4,"{(2, 3), (3, 7), (1, 3), (3, 10)}",22,11466,0.005857229232788086
Graph_11_42_1,11,42,6,"{(2, 4), (2, 7), (2, 10), (2, 3), (0, 2), (2, 6)}",22,11466,0.005412578582763672
Graph_11_42_2,11,42,6,"{(3, 8), (3, 4), (3, 7), (0, 3), (3, 10), (2, 3)}",22,11466,0.005705118179321289
Graph_11_42_3,11,42,6,"{(1, 2), (1, 5), (1, 10), (1, 6), (1, 3), (1, 9)}",22,11466,0.005552530288696289
Graph_11_42_4,11,42,5,"{(6, 8), (0, 6), (6, 7), (3, 6), (6, 9)}",22,11466,0.005412101745605469
Graph_11_55_0,11,55,10,"{(4, 10), (2, 4), (0, 4), (3, 4), (4, 9), (4, 6), (1, 4), (4, 5), (4, 8), (4, 7)}",22,11583,0.005487918853759766
Graph_12_11_0,12,11,1,"{(0, 1)}",24,12207,0.00404667854309082
Graph_12_11_1,12,11,1,"{(0, 4)}",24,12207,0.004495382308959961
Graph_12_11_2,12,11,1,"{(5, 9)}",24,12207,0.004580497741699219
Graph_12_11_3,12,11,1,"{(1, 11)}",24,12207,0.00489354133605957
Graph_12_11_4,12,11,1,"{(0, 11)}",24,12207,0.0012044906616210938
Graph_12_17_0,12,17,1,"{(4, 7)}",36,12443,0.004747629165649414
Graph_12_17_1,12,17,1,"{(3, 7)}",24,12261,0.004838228225708008
Graph_12_17_2,12,17,1,"{(10, 11)}",36,12443,0.00467991828918457
Graph_12_17_3,12,17,1,"{(2, 3)}",24,12261,0.004695415496826172
Graph_12_17_4,12,17,1,"{(4, 8)}",36,12443,0.004869222640991211
Graph_12_34_0,12,34,2,"{(3, 11), (3, 6)}",24,12414,0.00565028190612793
Graph_12_34_1,12,34,3,"{(4, 5), (5, 11), (5, 6)}",24,12414,0.005509376525878906
Graph_12_34_2,12,34,2,"{(3, 5), (3, 11)}",24,12414,0.005736112594604492
Graph_12_34_3,12,34,3,"{(0, 3), (0, 5), (0, 6)}",24,12414,0.0053577423095703125
Graph_12_34_4,12,34,5,"{(0, 7), (5, 7), (1, 7), (7, 11), (7, 8)}",24,12414,0.005006074905395508
Graph_12_50_0,12,50,6,"{(3, 8), (3, 7), (2, 3), (3, 6), (1, 3), (3, 11)}",36,12872,0.0071485042572021484
Graph_12_50_1,12,50,7,"{(9, 10), (4, 9), (9, 11), (0, 9), (3, 9), (5, 9), (1, 9)}",24,12558,0.007055044174194336
Graph_12_50_2,12,50,7,"{(10, 11), (5, 11), (6, 11), (9, 11), (4, 11), (7, 11), (2, 11)}",24,12558,0.002916097640991211
Graph_12_50_3,12,50,6,"{(9, 10), (9, 11), (7, 9), (8, 9), (3, 9), (5, 9)}",24,12558,0.005771160125732422
Graph_12_50_4,12,50,7,"{(2, 4), (1, 2), (0, 2), (2, 6), (2, 5), (2, 11), (2, 8)}",24,12558,0.0066378116607666016
Graph_12_66_0,12,66,11,"{(5, 11), (1, 5), (5, 8), (5, 7), (4, 5), (5, 10), (5, 6), (0, 5), (5, 9), (2, 5), (3, 5)}",24,12702,0.007082462310791016
Graph_13_12_0,13,12,1,"{(1, 2)}",26,13238,0.004438638687133789
Graph_13_12_1,13,12,1,"{(3, 5)}",26,13238,0.004015445709228516
Graph_13_12_2,13,12,1,"{(4, 6)}",26,13238,0.0053327083587646484
Graph_13_12_3,13,12,1,"{(4, 7)}",39,13416,0.0008599758148193359
Graph_13_12_4,13,12,1,"{(3, 8)}",26,13238,0.004904270172119141
Graph_13_20_0,13,20,1,"{(4, 7)}",26,13310,0.004503011703491211
Graph_13_20_1,13,20,1,"{(2, 3)}",26,13310,0.0047149658203125
Graph_13_20_2,13,20,2,"{(1, 2), (2, 6)}",39,13520,0.005259275436401367
Graph_13_20_3,13,20,1,"{(2, 3)}",39,13520,0.004925251007080078
Graph_13_20_4,13,20,1,"{(9, 11)}",39,13520,0.00500178337097168
Graph_13_40_0,13,40,3,"{(3, 10), (3, 11), (3, 6)}",26,13490,0.006850719451904297
Graph_13_40_1,13,40,2,"{(2, 9), (1, 2)}",26,13490,0.006153583526611328
Graph_13_40_2,13,40,3,"{(0, 8), (8, 9), (6, 8)}",26,13490,0.006641864776611328
Graph_13_40_3,13,40,2,"{(2, 11), (6, 11)}",26,13490,0.006083965301513672
Graph_13_40_4,13,40,4,"{(2, 9), (1, 2), (2, 11), (2, 7)}",26,13490,0.0069310665130615234
Graph_13_59_0,13,59,7,"{(1, 5), (5, 8), (5, 7), (4, 5), (5, 6), (0, 5), (5, 12)}",26,13661,0.006653308868408203
Graph_13_59_1,13,59,6,"{(4, 9), (9, 12), (0, 9), (3, 9), (9, 11), (1, 9)}",26,13661,0.000980377197265625
Graph_13_59_2,13,59,7,"{(5, 11), (6, 11), (1, 11), (7, 11), (2, 11), (0, 11), (3, 11)}",26,13661,0.007260560989379883
Graph_13_59_3,13,59,7,"{(10, 11), (0, 10), (7, 10), (2, 10), (3, 10), (6, 10), (1, 10)}",26,13661,0.006726980209350586
Graph_13_59_4,13,59,7,"{(6, 12), (9, 12), (4, 12), (7, 12), (2, 12), (3, 12), (5, 12)}",26,13661,0.0028717517852783203
Graph_13_78_0,13,78,12,"{(5, 11), (1, 5), (5, 8), (5, 7), (4, 5), (5, 10), (5, 6), (0, 5), (5, 9), (2, 5), (5, 12), (3, 5)}",26,13832,0.008749246597290039
Graph_14_13_0,14,13,1,"{(2, 4)}",28,14271,0.0060122013092041016
Graph_14_13_1,14,13,1,"{(5, 11)}",28,14271,0.00582432746887207
Graph_14_13_2,14,13,1,"{(2, 3)}",28,14271,0.0048427581787109375
Graph_14_13_3,14,13,1,"{(3, 9)}",28,14271,0.004459857940673828
Graph_14_13_4,14,13,1,"{(4, 6)}",28,14271,0.0044193267822265625
Graph_14_23_0,14,23,1,"{(5, 9)}",42,14600,0.005409717559814453
Graph_14_23_1,14,23,1,"{(8, 10)}",28,14361,0.005794048309326172
Graph_14_23_2,14,23,1,"{(3, 7)}",28,14361,0.0051572322845458984
Graph_14_23_3,14,23,2,"{(6, 12), (2, 8)}",28,14361,0.004857063293457031
Graph_14_23_4,14,23,1,"{(2, 12)}",42,14600,0.0053043365478515625
Graph_14_46_0,14,46,2,"{(3, 13), (3, 10)}",28,14568,0.005563974380493164
Graph_14_46_1,14,46,4,"{(2, 9), (1, 2), (2, 5), (2, 6)}",42,14899,0.005720853805541992
Graph_14_46_2,14,46,4,"{(1, 6), (1, 10), (1, 13), (1, 4)}",28,14568,0.005454540252685547
Graph_14_46_3,14,46,5,"{(10, 11), (6, 11), (4, 11), (2, 11), (0, 11)}",28,14568,0.0053501129150390625
Graph_14_46_4,14,46,4,"{(2, 10), (1, 2), (2, 11), (2, 7)}",28,14568,0.0066089630126953125
Graph_14_69_0,14,69,8,"{(3, 8), (5, 8), (6, 8), (8, 10), (8, 9), (8, 12), (0, 8), (8, 11)}",28,14775,0.00808858871459961
Graph_14_69_1,14,69,8,"{(6, 8), (4, 6), (0, 6), (6, 7), (6, 13), (2, 6), (6, 10), (1, 6)}",28,14775,0.012259244918823242
Graph_14_69_2,14,69,8,"{(0, 4), (4, 13), (4, 9), (4, 6), (4, 12), (4, 5), (4, 11), (4, 7)}",28,14775,0.012217998504638672
Graph_14_69_3,14,69,6,"{(1, 2), (1, 8), (1, 7), (1, 6), (1, 3), (1, 9)}",28,14775,0.011902570724487305
