graph,nodes,edges,min_cut,edges_to_remove,solutions_tested,basic_operations,time_elapsed
Graph_3_2_0,3,2,1,"{(0, 1)}",2,4,0.0
Graph_3_3_0,3,3,2,"{(0, 1), (0, 2)}",3,6,0.0
Graph_4_3_0,4,3,1,"{(0, 1)}",1,3,0.0
Graph_4_4_0,4,4,1,"{(2, 3)}",3,9,0.0
Graph_4_5_0,4,5,2,"{(0, 1), (0, 3)}",10,36,0.0
Graph_4_6_0,4,6,3,"{(0, 1), (0, 2), (0, 3)}",10,36,0.0
Graph_5_4_0,5,4,1,"{(1, 2)}",3,12,0.0
Graph_5_6_0,5,6,1,"{(1, 3)}",2,8,0.0
Graph_5_8_0,5,8,3,"{(0, 1), (0, 3), (0, 4)}",15,80,0.0
Graph_5_10_0,5,10,4,"{(0, 1), (0, 2), (0, 3), (0, 4)}",15,80,0.0
Graph_6_5_0,6,5,1,"{(3, 4)}",5,25,0.0
Graph_6_8_0,6,8,2,"{(0, 4), (0, 5)}",41,330,0.0
Graph_6_12_0,6,12,3,"{(4, 5), (0, 4), (3, 4)}",41,330,0.0
Graph_6_15_0,6,15,5,"{(0, 1), (0, 4), (0, 3), (0, 2), (0, 5)}",41,330,0.0
Graph_7_6_0,7,6,1,"{(1, 6)}",2,12,0.0
Graph_7_11_0,7,11,2,"{(0, 4), (0, 5)}",63,672,0.0
Graph_7_16_0,7,16,3,"{(4, 5), (0, 4), (3, 4)}",63,672,0.0
Graph_7_21_0,7,21,6,"{(0, 1), (0, 4), (0, 3), (0, 6), (0, 2), (0, 5)}",63,672,0.0
Graph_8_7_0,8,7,1,"{(2, 3)}",4,28,0.0
Graph_8_7_1,8,7,1,"{(1, 5)}",2,14,0.0
Graph_8_7_2,8,7,1,"{(1, 5)}",2,14,0.0
Graph_8_7_3,8,7,1,"{(1, 5)}",2,14,0.0
Graph_8_7_4,8,7,1,"{(0, 5)}",1,7,0.0
Graph_8_8_0,8,8,1,"{(0, 6)}",1,7,0.0
Graph_8_8_1,8,8,1,"{(2, 3)}",4,28,0.0
Graph_8_8_2,8,8,1,"{(0, 2)}",3,21,0.0
Graph_8_8_3,8,8,1,"{(1, 2)}",3,21,0.0
Graph_8_8_4,8,8,1,"{(3, 5)}",4,28,0.0
Graph_8_15_0,8,15,1,"{(2, 5)}",6,42,0.0
Graph_8_15_1,8,15,3,"{(0, 1), (0, 2), (0, 6)}",162,2352,0.0
Graph_8_15_2,8,15,2,"{(2, 5), (2, 6)}",162,2352,0.0
Graph_8_15_3,8,15,1,"{(3, 5)}",4,28,0.0
Graph_8_15_4,8,15,2,"{(1, 7), (2, 7)}",162,2352,0.0009922981262207
Graph_8_22_0,8,22,3,"{(0, 3), (1, 3), (3, 6)}",162,2352,0.0
Graph_8_22_1,8,22,4,"{(2, 4), (1, 2), (2, 5), (2, 6)}",162,2352,0.0
Graph_8_22_2,8,22,4,"{(2, 3), (0, 3), (1, 3), (3, 5)}",162,2352,0.0062425136566162
Graph_8_22_3,8,22,4,"{(0, 1), (0, 3), (0, 4), (0, 6)}",162,2352,0.0
Graph_8_22_4,8,22,4,"{(1, 2), (2, 5), (2, 7), (2, 6)}",162,2352,0.0008258819580078
Graph_8_28_0,8,28,7,"{(0, 1), (0, 7), (0, 4), (0, 3), (0, 6), (0, 2), (0, 5)}",162,2352,0.0
Graph_9_8_0,9,8,1,"{(0, 8)}",1,8,0.0
Graph_9_8_1,9,8,1,"{(1, 4)}",2,16,0.0
Graph_9_8_2,9,8,1,"{(1, 2)}",3,24,0.0
Graph_9_8_3,9,8,1,"{(0, 5)}",1,8,0.0
Graph_9_8_4,9,8,1,"{(0, 1)}",1,8,0.0
Graph_9_10_0,9,10,1,"{(0, 8)}",1,8,0.0
Graph_9_10_1,9,10,1,"{(1, 2)}",2,16,0.0
Graph_9_10_2,9,10,1,"{(2, 8)}",3,24,0.0
Graph_9_10_3,9,10,1,"{(1, 6)}",2,16,0.0
Graph_9_10_4,9,10,1,"{(0, 6)}",1,8,0.0
Graph_9_19_0,9,19,2,"{(5, 6), (0, 5)}",255,4608,0.0
Graph_9_19_1,9,19,2,"{(0, 3), (0, 6)}",255,4608,0.0
Graph_9_19_2,9,19,2,"{(2, 5), (2, 8)}",255,4608,0.0
Graph_9_19_3,9,19,2,"{(2, 3), (1, 3)}",255,4608,0.0
Graph_9_19_4,9,19,2,"{(0, 3), (0, 5)}",255,4608,0.0062193870544433
Graph_9_28_0,9,28,4,"{(2, 3), (3, 7), (1, 3), (3, 6)}",255,4608,0.0
Graph_9_28_1,9,28,4,"{(0, 2), (1, 2), (2, 6), (2, 4)}",255,4608,0.0
Graph_9_28_2,9,28,4,"{(1, 6), (1, 7), (1, 8), (1, 3)}",255,4608,0.0
Graph_9_28_3,9,28,5,"{(0, 1), (0, 4), (0, 3), (0, 2), (0, 5)}",255,4608,0.0
Graph_9_28_4,9,28,4,"{(1, 6), (1, 2), (1, 3), (1, 5)}",255,4608,0.0
Graph_9_36_0,9,36,8,"{(0, 1), (0, 7), (0, 4), (0, 3), (0, 6), (0, 2), (0, 5), (0, 8)}",255,4608,0.0008106231689453
Graph_10_9_0,10,9,1,"{(4, 6)}",7,63,0.0
Graph_10_9_1,10,9,1,"{(1, 7)}",2,18,0.0
Graph_10_9_2,10,9,1,"{(0, 9)}",1,9,0.0
Graph_10_9_3,10,9,1,"{(1, 3)}",2,18,0.0
Graph_10_9_4,10,9,1,"{(0, 9)}",1,9,0.0
Graph_10_12_0,10,12,1,"{(1, 9)}",10,90,0.0
Graph_10_12_1,10,12,1,"{(2, 3)}",4,36,0.0
Graph_10_12_2,10,12,1,"{(1, 6)}",2,18,0.0
Graph_10_12_3,10,12,1,"{(0, 6)}",1,9,0.0
Graph_10_12_4,10,12,1,"{(0, 8)}",1,9,0.0
Graph_10_23_0,10,23,2,"{(2, 5), (5, 6)}",637,14670,0.0037741661071777
Graph_10_23_1,10,23,3,"{(0, 3), (0, 9), (0, 6)}",637,14670,0.0
Graph_10_23_2,10,23,3,"{(6, 7), (6, 8), (4, 6)}",637,14670,0.0007071495056152
Graph_10_23_3,10,23,2,"{(0, 8), (8, 9)}",637,14670,0.0071868896484375
Graph_10_23_4,10,23,2,"{(3, 7), (3, 4)}",637,14670,0.0
Graph_10_34_0,10,34,5,"{(0, 1), (0, 4), (0, 3), (0, 6), (0, 8)}",637,14670,0.0073041915893554
Graph_10_34_1,10,34,5,"{(6, 8), (4, 6), (0, 6), (6, 7), (5, 6)}",637,14670,0.0065264701843261
Graph_10_34_2,10,34,5,"{(0, 1), (0, 4), (0, 3), (0, 6), (0, 2)}",637,14670,0.0069251060485839
Graph_10_34_3,10,34,5,"{(1, 2), (1, 5), (1, 4), (1, 7), (1, 3)}",637,14670,0.0020687580108642
Graph_10_34_4,10,34,6,"{(1, 2), (1, 5), (1, 8), (1, 7), (1, 6), (1, 9)}",637,14670,0.0
Graph_10_45_0,10,45,9,"{(0, 1), (0, 7), (0, 4), (0, 3), (0, 9), (0, 6), (0, 2), (0, 5), (0, 8)}",637,14670,0.0
Graph_11_10_0,11,10,1,"{(0, 2)}",3,30,0.0
Graph_11_10_1,11,10,1,"{(0, 4)}",1,10,0.0
Graph_11_10_2,11,10,1,"{(0, 9)}",1,10,0.0
Graph_11_10_3,11,10,1,"{(3, 6)}",4,40,0.0
Graph_11_10_4,11,10,1,"{(2, 5)}",6,60,0.0
Graph_11_14_0,11,14,1,"{(0, 10)}",1,10,0.0
Graph_11_14_1,11,14,1,"{(2, 8)}",3,30,0.0
Graph_11_14_2,11,14,1,"{(2, 3)}",4,40,0.0
Graph_11_14_3,11,14,1,"{(4, 5)}",6,60,0.0
Graph_11_14_4,11,14,1,"{(1, 6)}",2,20,0.0
Graph_11_28_0,11,28,2,"{(1, 3), (3, 10)}",1023,28160,0.0014457702636718
Graph_11_28_1,11,28,3,"{(2, 3), (2, 6), (2, 7)}",1023,28160,0.0
Graph_11_28_2,11,28,3,"{(8, 10), (6, 10), (0, 10)}",1023,28160,0.0036396980285644
Graph_11_28_3,11,28,3,"{(1, 6), (1, 3), (1, 10)}",1023,28160,0.0013990402221679
Graph_11_28_4,11,28,3,"{(6, 8), (8, 10), (4, 8)}",1023,28160,0.0039234161376953
Graph_11_42_0,11,42,4,"{(2, 3), (3, 7), (1, 3), (3, 10)}",1023,28160,0.0066945552825927
Graph_11_42_1,11,42,6,"{(2, 4), (2, 7), (2, 10), (2, 3), (0, 2), (2, 6)}",1023,28160,0.0
Graph_11_42_2,11,42,6,"{(3, 8), (3, 4), (3, 7), (0, 3), (3, 10), (2, 3)}",1023,28160,0.0073997974395751
Graph_11_42_3,11,42,6,"{(1, 2), (1, 5), (1, 10), (1, 6), (1, 3), (1, 9)}",1023,28160,0.0041995048522949
Graph_11_42_4,11,42,5,"{(6, 8), (0, 6), (6, 7), (3, 6), (6, 9)}",1023,28160,0.0078134536743164
Graph_11_55_0,11,55,10,"{(0, 1), (0, 7), (0, 4), (0, 10), (0, 3), (0, 9), (0, 6), (0, 2), (0, 5), (0, 8)}",1023,28160,0.0051596164703369
Graph_12_11_0,12,11,1,"{(3, 4)}",4,44,0.0
Graph_12_11_1,12,11,1,"{(2, 7)}",3,33,0.0
Graph_12_11_2,12,11,1,"{(0, 1)}",1,11,0.0
Graph_12_11_3,12,11,1,"{(3, 7)}",8,88,0.0
Graph_12_11_4,12,11,1,"{(1, 3)}",2,22,0.0
Graph_12_17_0,12,17,1,"{(4, 7)}",5,55,0.0
Graph_12_17_1,12,17,1,"{(3, 7)}",8,88,0.0
Graph_12_17_2,12,17,1,"{(10, 11)}",12,132,0.0
