graph,nodes,edges,min_cut,solutions_tested,basic_operations,time_elapsed
Graph_3_2_0,3,2,1,2,812,0.0
Graph_3_3_0,3,3,2,3,1015,0.0
Graph_4_3_0,4,3,1,1,1114,0.0
Graph_4_4_0,4,4,1,3,1321,0.0
Graph_4_5_0,4,5,2,10,1549,0.0
Graph_4_6_0,4,6,3,10,1750,0.0009295940399169922
Graph_5_4_0,5,4,1,3,1426,0.0005958080291748047
Graph_5_6_0,5,6,1,2,1824,0.0017006397247314453
Graph_5_8_0,5,8,3,15,2298,0.0
Graph_5_10_0,5,10,4,15,2700,0.0009999275207519531
Graph_6_5_0,6,5,1,5,1742,0.0009303092956542969
Graph_6_8_0,6,8,2,41,2650,0.0
Graph_6_12_0,6,12,3,41,3454,0.0010213851928710938
Graph_6_15_0,6,15,5,41,4057,0.0013005733489990234
Graph_7_6_0,7,6,1,2,2032,0.0010344982147216797
Graph_7_11_0,7,11,2,63,3697,0.0026700496673583984
Graph_7_16_0,7,16,3,63,4702,0.0009984970092773438
Graph_7_21_0,7,21,6,63,5707,0.0011913776397705078
Graph_8_7_0,8,7,1,26,2843,0.0
Graph_8_7_1,8,7,1,14,2751,0.003172159194946289
Graph_8_7_2,8,7,1,15,2800,0.0020194053649902344
Graph_8_7_3,8,7,1,11,2763,0.0010325908660888672
Graph_8_7_4,8,7,1,9,2726,0.0
Graph_8_8_0,8,8,1,10,2993,0.0031347274780273438
Graph_8_8_1,8,8,1,29,3114,0.0016627311706542969
Graph_8_8_2,8,8,1,22,3091,0.0020372867584228516
Graph_8_8_3,8,8,1,22,3088,0.0
Graph_8_8_4,8,8,1,33,3125,0.00495457649230957
Graph_8_15_0,8,15,1,130,5891,0.0023903846740722656
Graph_8_15_1,8,15,3,945,17389,0.005013227462768555
Graph_8_15_2,8,15,2,945,17426,0.0033833980560302734
Graph_8_15_3,8,15,1,111,5697,0.004400014877319336
Graph_8_15_4,8,15,2,945,17397,0.0031158924102783203
Graph_8_22_0,8,22,3,1386,25029,0.005465030670166016
