graph,nodes,edges,min_cut,solutions_tested,basic_operations,time_elapsed
Graph_3_2_0,3,2,1,1,28,0.0
Graph_3_3_0,3,3,2,3,2409,0.0
Graph_4_3_0,4,3,1,1,46,0.0
Graph_4_4_0,4,4,1,2,94,0.0
Graph_4_5_0,4,5,2,6,4745,0.0
Graph_4_6_0,4,6,3,7,5403,0.016011714935302734
Graph_5_4_0,5,4,1,1,63,0.0
Graph_5_6_0,5,6,1,3,423,0.0
Graph_5_8_0,5,8,3,12,8545,0.0019516944885253906
Graph_5_10_0,5,10,4,15,10351,0.002355813980102539
Graph_6_5_0,6,5,1,1,85,0.0
Graph_6_8_0,6,8,2,13,10033,0.0
Graph_6_12_0,6,12,3,21,14498,0.0
Graph_6_15_0,6,15,5,24,17822,0.0030264854431152344
Graph_7_6_0,7,6,1,1,109,0.0
Graph_7_11_0,7,11,2,20,15371,0.002994060516357422
Graph_7_16_0,7,16,3,23,21729,0.004126548767089844
Graph_7_21_0,7,21,6,30,28311,0.0041158199310302734
Graph_8_7_0,8,7,1,1,133,0.00039577484130859375
Graph_8_7_1,8,7,1,1,137,0.0
Graph_8_7_2,8,7,1,1,134,0.0
Graph_8_7_3,8,7,1,1,132,0.0
Graph_8_7_4,8,7,1,1,136,0.0
Graph_8_8_0,8,8,1,1,154,0.0
Graph_8_8_1,8,8,1,1,139,0.0
Graph_8_8_2,8,8,1,1,160,0.0
Graph_8_8_3,8,8,1,2,275,0.0009970664978027344
Graph_8_8_4,8,8,1,1,152,0.0
Graph_8_15_0,8,15,1,1,232,0.0
Graph_8_15_1,8,15,3,25,22990,0.004005908966064453
Graph_8_15_2,8,15,2,21,22950,0.0059244632720947266
Graph_8_15_3,8,15,1,2,491,0.0
Graph_8_15_4,8,15,2,28,23100,0.003702878952026367
Graph_8_22_0,8,22,3,31,33182,0.00099945068359375
Graph_8_22_1,8,22,4,28,33087,0.0044057369232177734
Graph_8_22_2,8,22,4,25,33379,0.0023267269134521484
Graph_8_22_3,8,22,4,37,33415,0.005051136016845703
Graph_8_22_4,8,22,4,28,33129,0.004372119903564453
Graph_8_28_0,8,28,7,28,42063,0.0051462650299072266
Graph_9_8_0,9,8,1,1,162,0.0
Graph_9_8_1,9,8,1,1,169,0.0
Graph_9_8_2,9,8,1,1,162,0.0
Graph_9_8_3,9,8,1,1,174,0.0
Graph_9_8_4,9,8,1,1,163,0.0
Graph_9_10_0,9,10,1,1,195,0.0
Graph_9_10_1,9,10,1,1,195,0.0
Graph_9_10_2,9,10,1,1,209,0.0
Graph_9_10_3,9,10,1,3,538,0.0
Graph_9_10_4,9,10,1,1,195,0.0
Graph_9_19_0,9,19,2,25,32198,0.006060123443603516
Graph_9_19_1,9,19,2,24,31931,0.0054242610931396484
Graph_9_19_2,9,19,2,23,32090,0.005586147308349609
Graph_9_19_3,9,19,2,23,32046,0.005133152008056641
Graph_9_19_4,9,19,2,22,31856,0.0026023387908935547
Graph_9_28_0,9,28,4,34,46868,0.00500035285949707
Graph_9_28_1,9,28,4,36,46758,0.01007223129272461
Graph_9_28_2,9,28,4,25,46750,0.006714820861816406
Graph_9_28_3,9,28,5,29,46909,0.008180618286132812
Graph_9_28_4,9,28,4,32,46856,0.006333827972412109
Graph_9_36_0,9,36,8,30,60242,0.009010791778564453
Graph_10_9_0,10,9,1,1,198,0.0
Graph_10_9_1,10,9,1,1,194,0.0
Graph_10_9_2,10,9,1,1,200,0.0
Graph_10_9_3,10,9,1,1,203,0.0
Graph_10_9_4,10,9,1,1,193,0.0
Graph_10_12_0,10,12,1,5,1136,0.0
Graph_10_12_1,10,12,1,3,703,0.0
Graph_10_12_2,10,12,1,1,262,0.0
Graph_10_12_3,10,12,1,1,249,0.0
Graph_10_12_4,10,12,1,2,469,0.0
Graph_10_23_0,10,23,2,29,42340,0.00619053840637207
Graph_10_23_1,10,23,3,30,41920,0.006768703460693359
Graph_10_23_2,10,23,3,34,42190,0.005333662033081055
Graph_10_23_3,10,23,2,26,42415,0.008429288864135742
Graph_10_23_4,10,23,2,26,42642,0.006891012191772461
Graph_10_34_0,10,34,5,26,62359,0.009497880935668945
Graph_10_34_1,10,34,5,31,62584,0.006546974182128906
Graph_10_34_2,10,34,5,36,62530,0.012822151184082031
Graph_10_34_3,10,34,5,33,61848,0.00946664810180664
Graph_10_34_4,10,34,6,31,62243,0.00892019271850586
Graph_10_45_0,10,45,9,32,82896,0.01275324821472168
Graph_11_10_0,11,10,1,1,227,0.0009810924530029297
Graph_11_10_1,11,10,1,1,222,0.0
Graph_11_10_2,11,10,1,1,232,0.0
Graph_11_10_3,11,10,1,1,233,0.0
Graph_11_10_4,11,10,1,1,224,0.0
Graph_11_14_0,11,14,1,1,312,0.0
Graph_11_14_1,11,14,1,1,315,0.0
Graph_11_14_2,11,14,1,2,582,0.0
Graph_11_14_3,11,14,1,1,330,0.0
Graph_11_14_4,11,14,1,1,321,0.0
Graph_11_28_0,11,28,2,21,55570,0.008096694946289062
Graph_11_28_1,11,28,3,27,55743,0.009035825729370117
Graph_11_28_2,11,28,3,28,55630,0.008628368377685547
Graph_11_28_3,11,28,3,25,55455,0.007916688919067383
Graph_11_28_4,11,28,3,28,55867,0.010638713836669922
Graph_11_42_0,11,42,4,26,84012,0.013169527053833008
Graph_11_42_1,11,42,6,33,84207,0.011804342269897461
Graph_11_42_2,11,42,6,31,83977,0.012909173965454102
Graph_11_42_3,11,42,6,35,84386,0.012856006622314453
Graph_11_42_4,11,42,5,30,83515,0.011991024017333984
Graph_11_55_0,11,55,10,29,110705,0.017215967178344727
Graph_12_11_0,12,11,1,1,273,0.0
Graph_12_11_1,12,11,1,1,258,0.0
